edit_id,action,application-list,auto-asic-offload,av-profile,comments,dstaddr,dstintf,groups,inspection-mode,internet-service,internet-service-name,ips-sensor,logtraffic,name,nat,np-acceleration,port-preserve,schedule,service,srcaddr,srcintf,ssl-ssh-profile,status,timeout-send-rst,users,utm-status,uuid,webfilter-profile,ztna-ems-tag,ztna-status
176,accept,,,,Clone of 129,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,DeleumHQ_SSO_user,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,,,,enable,8afe26c0-87dd-51ec-4dea-39c46979624d,,,
177,accept,,,,Clone of 88,FAZ200F_192.168.30.2,port5,,,,,,all,,,,,always,ALL,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,,,,,,d5b63b62-87dd-51ec-0a54-7ceb0dfddcd8,,,
178,accept,,,,Reverse of 162,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,certificate-inspection,,,,enable,d833945a-f0e6-51ea-f775-04cf2aa8972c,,,
179,accept,,,,Clone of 170,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,dab5c076-174b-51ed-094e-bdb403f52701,,,
18,accept,,,,,all,virtual-wan-link,,,,,high_security,all,,enable,,,always,ALL,Server-192.168.42.0/24,port10,certificate-inspection,,,,enable,451b643c-673e-51e9-d7e2-a92ee01d089a,,,
180,accept,,,,Clone of 179,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,certificate-inspection,,,,enable,d9bbbf84-87dd-51ec-c5cd-bcf916389883,,,
181,accept,,,,,eformproxy_60.53.219.66,port10,,,,,default,all,MiniOrange_LDAPgw,,,,always,"HTTPS, port_8081",miniOrange_Cloud,virtual-wan-link,certificate-inspection,disable,,,enable,d3044238-b853-51eb-221d-95c7867f2e2b,,,
182,accept,deleum application control,,,Clone of 52,Server-192.168.42.0/24,port10,,,,,default,all,,,,,always,ALL,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,certificate-inspection,,,,enable,e01ccd1e-87dd-51ec-4c8c-214080e6c1cc,deleum_webfilter,,
184,accept,,,,Clone of 165,DR-192.168.43.0/24,toIT_fromHQ,,,,,high_security,,,,,,always,ALL,Trust-192.168.0.0/23,port9,certificate-inspection,,,,enable,5ee2061a-c018-51ec-312a-b9e792905206,,,
185,,,,,,all,virtual-wan-link,,,,,,all,,,,,always,ALL,server_no_internet,port10,,,,,,e90519f4-7439-51ef-5fa3-f607d5517bf5,,,
186,accept,deleum application control,,, (Copy of 32) (Copy of ),banking,virtual-wan-link,,proxy,,,,all,,enable,,,always,ALL,Trust-192.168.0.0/23,port9,certificate-inspection,disable,,,enable,cef91af2-0962-51ef-db65-010e8b4e8600,deleum_webfilter,,
187,accept,,,,Clone of 111,DPSB_TK_new_192.168.7.0/24,to_TKY,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,acd232fa-fbb9-51ec-0da9-a63b5abe782a,,,
188,accept,,,,Clone of 162,DPSB_TK_new_192.168.7.0/24,to_TKY,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,4434444e-fbba-51ec-244e-6b2272010770,,,
189,accept,,,,Clone of 187,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,1a598062-fbba-51ec-d99f-0fbcee6e7001,,,
